G= 1000000.0, R = 0.8, dx = 6e-10,dt = 5.187319884726225e-13,A = 1
0,1751.0,6e-10
500000,1752.239707204611,1.4472000000000687e-06
1000000,1753.321614409222,2.7366000000001654e-06
1500000,1754.254721613833,3.877200000000207e-06
2000000,1755.0426288184433,4.872599999999579e-06
2500000,1755.653536023054,5.6909999999990626e-06
3000000,1755.9422432276644,6.18719999999875e-06
3500000,1755.8277504322753,6.280199999998691e-06
4000000,1755.6760576368863,6.335999999998656e-06
4500000,1755.5159648414972,6.383399999998626e-06
5000000,1755.352272046108,6.427199999998598e-06
5500000,1755.188579250719,6.470999999998571e-06
6000000,1755.02608645533,6.515999999998542e-06
6500000,1754.8653936599408,6.562799999998513e-06
7000000,1754.7071008645519,6.612599999998481e-06
7500000,1754.5506080691628,6.6629999999984495e-06
8000000,1754.3953152737736,6.7151999999984166e-06
8500000,1754.2406224783845,6.767999999998383e-06
9000000,1754.0871296829955,6.821999999998349e-06
9500000,1753.9360368876064,6.878399999998314e-06
10000000,1753.7873440922174,6.9371999999982765e-06
10500000,1753.6404512968281,6.997799999998238e-06
11000000,1753.4953585014391,7.060199999998199e-06
11500000,1753.35326570605,7.125599999998158e-06
12000000,1753.212972910661,7.192799999998115e-06
12500000,1753.0756801152718,7.262999999998071e-06
13000000,1752.9413873198828,7.336199999998025e-06
13500000,1752.8112945244936,7.413599999997976e-06
14000000,1752.6848017291045,7.494599999997925e-06
14500000,1752.5601089337154,7.577399999997873e-06
15000000,1752.4402161383264,7.664999999997818e-06
15500000,1752.3257233429372,7.75799999999776e-06
16000000,1752.2166305475482,7.856399999997698e-06
16500000,1752.114737752159,7.961999999997631e-06
17000000,1752.0176449567698,8.072399999997561e-06
17500000,1751.9265521613809,8.189399999997488e-06
18000000,1751.8444593659917,8.314199999997409e-06
18500000,1751.7701665706024,8.447399999997325e-06
19000000,1751.7060737752133,8.590799999997234e-06
19500000,1751.6551809798243,8.747399999997136e-06
20000000,1751.628288184435,8.927999999997022e-06
20500000,1751.646395389046,9.15359999999688e-06
